Homo sapiens	27292
Saccharomyces cerevisiae S288C	850883
Homo sapiens	10436
Homo sapiens	55226
Mus musculus	19791
Homo sapiens	100008588
Homo sapiens	106631781
Saccharomyces cerevisiae S288C	9164923
Saccharomyces cerevisiae S288C	9164932
Homo sapiens	109864273
Saccharomyces cerevisiae S288C	850414
Homo sapiens	109910380
Homo sapiens	106632259
Homo sapiens	106632258
Homo sapiens	106631782
Homo sapiens	109864280
Mus musculus	14791
Homo sapiens	109910383
Homo sapiens	109864277
Homo sapiens	109864275
Mus musculus	66254
Aphanomyces invadans	20084208
Homo sapiens	110255169
Homo sapiens	110255165
Rattus norvegicus	100861533
Aspergillus welwitschiae	38135162
Arabidopsis thaliana	814907
Papaver somniferum	113296945
Pyricularia oryzae 70-15	2677945
Rhizophagus irregularis DAOM 181602=DAOM 197198	36869533
Nosema ceranae	36321074
Mitosporidium daphniae	25258635
Rhizopus microsporus ATCC 52813	35442885
Moesziomyces antarcticus	26305204
Tilletiaria anomala UBC 951	25264429
Cryptococcus neoformans var. grubii H99	23886764
Beauveria bassiana ARSEF 2860	19890923
Yamadazyma tenuis ATCC 10573	18250705
Coccidioides immitis RS	4567555
Necator americanus	25356463
Saprolegnia parasitica CBS 223.65	24133034
Paracoccidioides brasiliensis Pb18	22581970
Aureobasidium pullulans EXF-150	40748237
Tilletiopsis washingtonensis	37268553
Acaromyces ingoldii	37041371
Ceraceosorus guamensis	37036406
Meira miltonrushii	37024180
Pseudomicrostroma glucosiphilum	37014202
Hyphopichia burtonii NRRL Y-1933	30998023
Cyberlindnera jadinii NRRL Y-1542	30990249
Suhomyces tanzawaensis NRRL Y-17324	30980831
Ascoidea rubescens DSM 1968	30964518
Sphaerulina musiva SO2202	27903566
Aureobasidium namibiae CBS 147.97	25409423
Trametes versicolor FP-101664 SS1	19409437
Gloeophyllum trabeum ATCC 11539	19307160
Coniophora puteana RWD-64-598 SS2	19211833
Punctularia strigosozonata HHB-11173 SS5	18886365
Dichomitus squalens LYAD-421 SS1	18834886
Stereum hirsutum FP-91666 SS1	18807875
Aspergillus tubingensis	56009442
Trematosphaeria pertusa	54581510
Westerdykella ornata	54550614
Macroventuria anomochaeta	54442883
Lindgomyces ingoldianus	54429185
Eremomyces bilateralis CBS 781.70	54423928
Dissoconium aciculare CBS 342.82	54359857
Didymella exigua CBS 183.55	54352926
Aspergillus pseudotamarii	43641676
Kwoniella shandongensis	43586029
Besnoitia besnoiti	40305977
Aspergillus ibericus CBS 121593	37228592
Aspergillus vadensis CBS 113365	37206518
Aspergillus homomorphus CBS 101889	37194590
Aspergillus japonicus CBS 114.51	37173392
Aspergillus aculeatinus CBS 121060	37156610
Aspergillus uvarum CBS 121591	37133096
Aspergillus brunneoviolaceus CBS 621.78	37089681
Aspergillus saccharolyticus JOP 1030-1	37072127
Aspergillus heteromorphus CBS 117.55	37060566
[Candida] haemuloni	37008122
[Candida] duobushaemulonis	37003227
Trichoderma citrinoviride	36603322
Hyaloscypha bicolor E	36579380
[Candida] pseudohaemulonis	36568607
Aspergillus campestris IBT 28561	36544113
Aspergillus candidus	36521422
Tsuchiyaea wingfieldii CBS 7118	30196282
Alternaria alternata	29110432
Cutaneotrichosporon oleaginosum	28982045
Cladophialophora bantiana CBS 173.52	27705445
Spizellomyces punctatus DAOM BR117	27688838
Spizellomyces punctatus DAOM BR117	27683795
Exophiala oligosperma	27352622
Cladophialophora immunda	27343760
Exophiala spinifera	27331120
Exophiala mesophila	27325210
Verruconis gallopava	27309797
Thecamonas trahens ATCC 50062	25568465
Exophiala xenobiotica	25326434
Fonsecaea pedrosoi CBS 271.37	25303406
Rhinocladiella mackenziei CBS 650.93	25296250
Exophiala aquamarina CBS 119918	25278706
Aphanomyces astaci	20805822
Fonticula alba	20526392
Gaeumannomyces tritici R3-111a-1	20350711
Exophiala dermatitidis NIH/UT8656	20311555
Phytophthora parasitica INRA-310	20172835
Entamoeba nuttalli P19	20072766
Cladophialophora carrionii CBS 160.54	19988041
Cyphellophora europaea CBS 101466	19968758
Saprolegnia diclina VS20	19941008
Coniosporium apollinis CBS 100218	19898544
Pneumocystis murina B123	19893704
Cladophialophora psammophila CBS 110553	19197914
Cladophialophora yegresii CBS 114405	19179966
Capronia epimyces CBS 606.96	19171063
Capronia coronata CBS 617.96	19158245
Fomitiporia mediterranea MF3/22	18676905
Puccinia graminis f. sp. tritici CRL 75-36-700-3	10529212
Blastomyces gilchristii SLH14081	8505032
Toxoplasma gondii ME49	7898406
Bos taurus	509725
Cryphonectria parasitica EP155	63840805
Verticillium nonalfalfae	39604540
Byssochlamys spectabilis	39603034
Laetiporus sulphureus 93-53	63827600
Cantharellus anzutake	62296901
Colletotrichum scovillei	55986580
Schizosaccharomyces japonicus yFS275	7049483
Aureobasidium melanogenum CBS 110374	63913858
Suillus bovinus	64713898
Suillus fuscotomentosus	64664487
Suillus clintonianus	64645017
Suillus subaureus	64623940
Suillus plorans	64595445
Guyanagaster necrorhizus MCA 3950	66104416
Aspergillus fijiensis CBS 313.89	63864405
Linderina pennispora	63808067
Aspergillus ruber CBS 135680	63701440
Mycena indigotica	59349324
Pseudovirgaria hyperparasitica	54481116
Aspergillus tanneri	54329592
[Candida] auris	40026614
Apiotrichum porosum	39587257
Aspergillus niger CBS 101883	37107253
Plasmopara halstedii	36408993
Colletotrichum orchidophilum	34558906
Colletotrichum higginsianum IMI 349063	28859750
Colletotrichum graminicola M1.001	24406861
Plasmodium fragile	24265752
Loa loa	9939553
Salvia splendens	121775266
Caenorhabditis elegans	176995
Brettanomyces bruxellensis	64573275
Aspergillus udagawae	66990387
Fusarium poae	68346784
Fusarium musae	68314981
Bacidia gigantensis	68304586
Cercospora kikuchii	68287130
Diaporthe batatas	68279098
Aspergillus pseudoviridinutans	67004756
Aspergillus chevalieri	66986006
Aspergillus viridinutans	66933068
Scheffersomyces spartinae	66117778
Aspergillus puulaauensis	64972963
Aspergillus luchuensis	64966427
Brettanomyces nanus	62194964
Aspergillus pseudonomiae	43663322
Procambarus clarkii	123762070
Nasonia vitripennis	100123103
Venturia canescens	122416463
Amphibalanus amphitrite	122382228
Macadamia integrifolia	122072884
Nomia melanderi	116432011
Octopus sinensis	115214798
Octopus sinensis	115214218
Manihot esculenta	110616459
Rhagoletis zephyria	108376231
Mus musculus	98956
Populus trichocarpa	7467679
Cotesia glomerata	123264088
Cannabis sativa	115722036
Amphibalanus amphitrite	122394261
Lactuca sativa	111906473
Momordica charantia	111014103
Manihot esculenta	110630261
Pseudomyrmex gracilis	109857199
Limulus polyphemus	106469588
Athalia rosae	105691148
Vollenhovia emeryi	105570672
Cucumis melo	103486075
Citrus sinensis	102620628
Amborella trichopoda	18438169
Homo sapiens	359724
Mus musculus	110183
Sparassis crispa	38779177
Lonchura striata domestica	110476638
Lachnellula hyalina	41981890
Homarus americanus	121863727
Rhagoletis pomonella	118736079
Rhagoletis pomonella	118736019
Punica granatum	116189175
Cannabis sativa	115722304
Cannabis sativa	115706751
Folsomia candida	110862989
Lynx rufus	124519256
Haliotis rubra	124276222
Neodiprion pinetum	124215014
Neodiprion fabricii	124178780
Portunus trituberculatus	123511484
Telopea speciosissima	122666583
Macadamia integrifolia	122078166
Panicum virgatum	120691170
Panicum virgatum	120647001
Glossina fuscipes	119641845
Pollicipes pollicipes	119097746
Stegodyphus dumicola	118185198
Ixodes scapularis	115312726
Octopus sinensis	115217158
Papaver somniferum	113325969
Pomacea canaliculata	112562122
Durio zibethinus	111301750
Helianthus annuus	110865558
Dendrobium catenatum	110108973
Raphanus sativus	108847542
Eufriesea mexicana	108548739
Neodiprion lecontei	107217500
